name;wildcard;elementPath;filename;short_filename;path;type;exists;ishidden;isreadable;iswriteable;lastmodifiedtime;size;extension;uri;rooturi
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/FillAuditMartTime.html                                                                                                                                                                                                                                                                                                                                                                                                                        ;FillAuditMartTime.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/21 12:48:34.067;347;html;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/FillAuditMartTime.html;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/UpdateAuditData                                                                                                                                                                                                                                                                                                                                                                                                                               ;UpdateAuditData                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:55:46.033;0;;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/UpdateAuditData;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/UpdateAuditData.html                                                                                                                                                                                                                                                                                                                                                                                                                          ;UpdateAuditData.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/26 19:17:51.478;347;html;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/UpdateAuditData.html;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d2.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                      ;d2.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:55:45.636;189;cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d2.cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                  ;d22234.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:58:55.066;193;cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                            ;d22234.cdfde.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 23:34:36.275;185;cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde.cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde.wcdf                                                                                                                                                                                                                                                                                                                                                                                                                             ;d22234.cdfde.wcdf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:58:36.460;216;wcdf;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.cdfde.wcdf;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.wcdf                                                                                                                                                                                                                                                                                                                                                                                                                                   ;d22234.wcdf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:58:55.213;280;wcdf;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/d22234.wcdf;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/testFolder1                                                                                                                                                                                                                                                                                                                                                                                                                                   ;testFolder1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin                                                                                                                                                                                                                                                                                                                                                                                                                                               ;folder                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Y;N;Y;Y;1970/01/01 00:59:59.999;;;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/testFolder1;jcr-solution:http://admin:password@localhost:8080/pentaho!/
JCR;.* ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/testFolder1/d3.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                          ;d3.cdfde                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/testFolder1                                                                                                                                                                                                                                                                                                                                                                                                                                   ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2013/11/22 22:59:08.307;187;cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/home/admin/testFolder1/d3.cdfde;jcr-solution:http://admin:password@localhost:8080/pentaho!/
